method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
deepblocker,top1,ABTBUY,6,6510.0,6510.0,6510.0,1455.688509464264,0.0,0.0,552.5273
deepblocker,top1,ABTBUY,7,7595.0,7595.0,7595.0,735.0949342250824,0.0,0.0,554.6524000000001
deepblocker,top1,ABTBUY,8,8680.0,8680.0,8680.0,741.5448009967804,0.0,0.0,558.4258
deepblocker,top1,ABTBUY,2,2170.0,2170.0,2170.0,1456.4936661720276,0.0,0.0,558.7188000000001
deepblocker,top1,ABTBUY,3,3255.0,3255.0,3255.0,1447.5481250286102,0.0,0.0,552.3867
deepblocker,top1,ABTBUY,4,4340.0,4340.0,4340.0,1456.1929926872251,0.0,0.0,552.9531999999999
deepblocker,top1,ABTBUY,5,5425.0,5425.0,5425.0,1385.5919897556305,0.0,0.0,558.0117
deepblocker,top1,ABTBUY,10,10850.0,10805.0,10805.0,742.4060297012329,0.0,0.0,557.1758
deepblocker,top1,ABTBUY,9,9765.0,9765.0,9765.0,741.1215748786926,0.0,0.0,557.0899000000001
deepblocker,top1,ABTBUY,1,1085.0,1085.0,1085.0,1447.3791797161102,0.0,0.0,567.4687
deepblocker,top1,D1,1,89.0,89.0,89.0,662.4558711051941,0.0028714107365792,0.0112359550561797,553.8516
deepblocker,top1,D1,9,801.0,801.0,801.0,1388.739591836929,0.7215668693434949,0.9662921348314608,548.4257
deepblocker,top1,D1,5,445.0,445.0,445.0,645.7889752388,0.5255202297576489,0.8314606741573034,553.6953
deepblocker,top1,D1,3,267.0,267.0,267.0,662.6208600997925,0.3389652859299007,0.7865168539325843,553.7344
deepblocker,top1,D1,2,178.0,178.0,178.0,661.3295321464539,0.1429916514970811,0.5955056179775281,548.6055000000001
deepblocker,top1,D1,10,890.0,890.0,890.0,988.388444662094,0.7126949898485478,0.9662921348314608,551.8086
deepblocker,top1,D1,8,712.0,712.0,712.0,1359.08655834198,0.6883401358400204,0.9438202247191012,554.5
deepblocker,top1,D1,7,623.0,623.0,623.0,1389.0839760303495,0.6497046960530134,0.9438202247191012,548.9766
deepblocker,top1,D1,4,356.0,356.0,356.0,661.9266383647919,0.4486198973971619,0.7865168539325843,555.125
deepblocker,top1,D1,6,534.0,534.0,534.0,1389.278111219406,0.6223248976162998,0.9213483146067416,549.2735
join,top1,ABTBUY,5,5425.0,5425.0,5425.0,114.58360314369202,0.168311305355169,0.5345622119815668,51.36709999999994
join,top1,ABTBUY,9,9765.0,8010.0,8010.0,118.33393740653992,0.3134564397915961,0.6774193548387096,52.39059999999995
join,top1,ABTBUY,6,6510.0,6510.0,6510.0,114.2716691493988,0.2359227595695912,0.6055299539170507,51.53120000000001
join,top1,ABTBUY,8,8680.0,8010.0,8010.0,108.40374755859376,0.3134564397915961,0.6774193548387096,52.23439999999994
join,top1,ABTBUY,4,4340.0,4340.0,4340.0,114.93370389938354,0.090516636464872,0.4276497695852534,51.875
join,top1,ABTBUY,1,1085.0,1085.0,1085.0,112.98910093307497,0.0,0.0,54.26170000000002
join,top1,ABTBUY,7,7595.0,7595.0,7595.0,115.31818628311156,0.2938115622338206,0.6654377880184332,53.16410000000008
join,top1,ABTBUY,2,2170.0,2170.0,2170.0,115.30583381652832,0.0,0.0,52.48440000000005
join,top1,ABTBUY,10,10850.0,8010.0,8010.0,114.26270818710329,0.3134564397915961,0.6774193548387096,51.21100000000001
join,top1,ABTBUY,3,3255.0,3255.0,3255.0,115.96565914154051,0.0198734134218005,0.152073732718894,52.043000000000006
join,top1,CDDB,1,3000.0,3000.0,3000.0,5568.6163675785065,0.0,0.0,150.83979999999997
join,top1,CDDB,10,30000.0,30000.0,30000.0,5108.7096309661865,0.5937499861114973,0.9733333333333334,196.1132
join,top1,CDDB,6,18000.0,18000.0,18000.0,5057.687322616577,0.3526505934855382,0.8366666666666667,195.9063000000001
join,top1,CDDB,5,15000.0,15000.0,15000.0,5634.1470539569855,0.2569773126236194,0.82,200.75
join,top1,CDDB,3,9000.0,9000.0,9000.0,5767.209904909134,0.0,0.0,151.05859999999996
join,top1,CDDB,2,6000.0,6000.0,6000.0,5716.9607191085815,0.0,0.0,147.5508000000001
join,top1,CDDB,9,27000.0,27000.0,27000.0,5038.491050958633,0.551575620656036,0.9733333333333334,192.7578
join,top1,CDDB,4,12000.0,12000.0,12000.0,5455.101718664169,0.1205952281754312,0.7766666666666666,155.3438
join,top1,CDDB,8,24000.0,24000.0,24000.0,5634.799180269241,0.499973612210635,0.9533333333333334,199.9453
join,top1,CDDB,7,21000.0,21000.0,21000.0,5701.226391792297,0.4354016475406243,0.95,197.9805
join,top1,CORA,4,2515640.0,129688.0,129688.0,78.4562258720398,0.4536937748662691,0.70797093383791,82.52729999999997
join,top1,CORA,2,1257820.0,129688.0,129688.0,79.39440512657166,0.4536937748662691,0.70797093383791,85.37110000000007
join,top1,CORA,10,6289100.0,129688.0,129688.0,78.46980047225952,0.4536937748662691,0.70797093383791,81.66019999999992
join,top1,CORA,1,628910.0,129688.0,129688.0,78.18009042739868,0.4536937748662691,0.70797093383791,84.85160000000008
join,top1,CORA,9,5660190.0,129688.0,129688.0,76.74235892295837,0.4536937748662691,0.70797093383791,80.72659999999996
join,top1,CORA,3,1886730.0,129688.0,129688.0,77.74612069129944,0.4536937748662691,0.70797093383791,84.62110000000007
join,top1,CORA,7,4402370.0,129688.0,129688.0,76.57468605041504,0.4536937748662691,0.70797093383791,82.98829999999998
join,top1,CORA,8,5031280.0,129688.0,129688.0,79.38590931892395,0.4536937748662691,0.70797093383791,84.12890000000004
join,top1,CORA,6,3773460.0,129688.0,129688.0,76.95819306373596,0.4536937748662691,0.70797093383791,82.44529999999997
join,top1,CORA,5,3144550.0,129688.0,129688.0,76.82560682296753,0.4536937748662691,0.70797093383791,82.40629999999999
join,top1,synthetic10K,3,26115.0,26115.0,26115.0,2823.16835474968,0.2792380594368477,0.8103388856978748,71.53120000000001
join,top1,synthetic10K,7,60935.0,36901.0,36901.0,2481.425415992737,0.4644275377250375,0.9579551981619758,113.6563000000001
join,top1,synthetic10K,4,34820.0,34820.0,34820.0,2313.679493188858,0.435000830785359,0.9537047673750718,116.69140000000004
join,top1,synthetic10K,2,17410.0,17410.0,17410.0,2344.1906213760376,0.1018434575169871,0.4429638139000574,112.52340000000004
join,top1,synthetic10K,6,52230.0,36901.0,36901.0,2684.002534389496,0.4644275377250375,0.9579551981619758,112.02730000000004
join,top1,synthetic10K,1,8705.0,8705.0,8705.0,2420.62154006958,0.0,0.0,114.38279999999996
join,top1,synthetic10K,9,78345.0,36901.0,36901.0,2298.603526353836,0.4644275377250375,0.9579551981619758,116.93359999999996
join,top1,synthetic10K,10,87050.0,36901.0,36901.0,2816.633872032165,0.4644275377250375,0.9579551981619758,95.97259999999994
join,top1,synthetic10K,8,69640.0,36901.0,36901.0,2825.025183200836,0.4644275377250375,0.9579551981619758,96.5235
join,top1,synthetic10K,5,43525.0,36901.0,36901.0,2637.6395497322083,0.4644275377250375,0.9579551981619758,80.375
join,top2,ABTBUY,7,7595.0,7595.0,7595.0,412.04895973205566,0.19997621838319,0.6221198156682027,52.03899999999999
join,top2,ABTBUY,4,4340.0,4340.0,4340.0,378.67621064186096,0.0451742415315547,0.216589861751152,52.66790000000003
join,top2,ABTBUY,2,2170.0,2170.0,2170.0,373.6479699611664,0.0,0.0,52.28910000000008
join,top2,ABTBUY,6,6510.0,6510.0,6510.0,364.5971348285675,0.1420889285555039,0.4746543778801843,52.04290000000003
join,top2,ABTBUY,3,3255.0,3255.0,3255.0,374.4625773429871,0.0124194680646293,0.0746543778801843,54.48429999999996
join,top2,ABTBUY,10,10850.0,8010.0,8010.0,404.92960953712463,0.2233881178356726,0.6774193548387096,51.87889999999993
join,top2,ABTBUY,1,1085.0,1085.0,1085.0,377.67119812965393,0.0,0.0,53.980500000000006
join,top2,ABTBUY,8,8680.0,8010.0,8010.0,374.3710367679596,0.2233881178356726,0.6774193548387096,52.4063000000001
join,top2,ABTBUY,5,5425.0,5425.0,5425.0,399.059385061264,0.0904078502380584,0.3271889400921659,51.96089999999992
join,top2,ABTBUY,9,9765.0,8010.0,8010.0,362.01661348342896,0.2233881178356726,0.6774193548387096,51.72269999999992
join,top2,CORA,3,188673.0,7604.0,7604.0,293.9006881713867,0.0324258941649471,0.0793913278529519,43.83600000000001
join,top2,CORA,1,62891.0,7604.0,7604.0,247.90584564208984,0.0324258941649471,0.0793913278529519,44.082
